SCIM_Generic_Table_Phrase_Library_TEXT
VERSION_1_0
### Begin Table definition.
BEGIN_DEFINITION
UUID = 98e4ca3b-8321-4903-a59d-84abce22f969
SERIAL_NUMBER = 20041224
ICON = /usr/share/scim/icons/Wubi.png
NAME = Wubi98
NAME.zh_CN = 五笔98
NAME.zh_HK = 五筆98
NAME.zh_TW = 五筆98
LANGUAGES = zh_CN,zh_SG,zh_TW,zh_HK
### AUTHOR = lsg-debian
STATUS_PROMPT = 中
VALID_INPUT_CHARS = abcdefghijklmnopqrstuvwxy
SINGLE_WILDCARD_CHAR = z
MULTI_WILDCARD_CHAR = *
SPLIT_KEYS = apostrophe
COMMIT_KEYS = space
FORWARD_KEYS = Return
SELECT_KEYS = 1,2,3,4,5,6,7,8,9
PAGE_UP_KEYS = Page_Up,comma,minus
PAGE_DOWN_KEYS = Page_Down,period,equal
MAX_KEY_LENGTH = 4
SHOW_KEY_PROMPT = FALSE
AUTO_SELECT = TRUE
AUTO_WILDCARD = TRUE
AUTO_COMMIT = FALSE
AUTO_SPLIT = FALSE
AUTO_FILL = FALSE
DISCARD_INVALID_KEY = TRUE
DYNAMIC_ADJUST = FALSE
ALWAYS_SHOW_LOOKUP = TRUE
USE_FULL_WIDTH_PUNCT = TRUE
DEF_FULL_WIDTH_PUNCT = TRUE
USE_FULL_WIDTH_LETTER = TRUE
DEF_FULL_WIDTH_LETTER = FALSE
BEGIN_CHAR_PROMPTS_DEFINITION
a 工
b 子
c 又
d 大
e 月
f 土
g 王
h 目
i 水
j 日
k 口
l 田
m 山
n 已
o 火
p 之
q 金
r 白
s 木
t 禾
u 立
v 女
w 人
x 纟
y 言
END_CHAR_PROMPTS_DEFINITION
END_DEFINITION

### Begin Table data.
BEGIN_TABLE
a	工
aa	式
aaaa	藏匿
aaaa	恭恭敬敬
aaah	葡萄牙
aaan	工艺
aaar	工匠
aaar	工区
aaau	工薪
aaau	菚
aabg	草草了事
aad	匿
aad	匞
aadc	工友
aadg	工厂
aadk	匿
aadn	慝
aado	工矿
aadr	茙
aadw	工期
aaei	勤工助学
aaeq	藏胞
aafb	工地
aafb	苏东坡
aaff	蓬蓬勃勃
aafg	葡萄干
aafn	工场
aafo	蘜
aagg	工夫
aago	戒严
aagp	勤劳致富
aagx	戒毒
aah	芽
aahc	菣
aahh	茝
aahh	茞
aahh	工卡
aahl	藍
aahm	藖
aaht	芽
aahw	工具
aahw	虦
aahy	蕥
aaie	卧薪尝胆
aaii	落花流水
aaip	工党
aais	葡萄酒
aait	工艺流程
aajf	工时
aajh	剗
aajh	蒸蒸日上
aajt	工蜂
aak	戒
aakg	蓳
aakk	工艺品
aakk	蓲
aalf	盞
aamf	蘳
aamg	蘣
aan	苣
aanf	苣
aann	藏书
aans	葉
aany	戒心
aaoc	工序
aaoh	工业
aaol	戒烟
aaoo	葡萄糖
aape	工农
aapp	切切实实
aaqb	苉
aaqc	蔚蓝色
aaqd	茫茫然
aaqg	工钱
aaqh	蔕
aaqk	匿名
aarr	熙熙攘攘
aarw	工兵
aarx	戒指
aasg	工本
aask	工整
aasr	七巧板
aasu	式样
aat	荛
aatg	芭蕾舞
aath	工段
aatk	工程
aatl	戒备
aatm	藏身
aatm	式微
aatn	蘙
aatq	荛
aatv	戒律
aau	藏
aau	戔
aaud	工头
aauf	工装
aauh	藏
aauq	工资
aaus	工艺美术
aavr	苆
aavv	勤勤恳恳
aawb	花花公子
aawe	匶
aawf	工会
aawi	勤工俭学
aaws	欧共体
aawt	工件
aawt	工作
aawu	荗
aawv	工分
